               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  47,            0.058759,            0.067241,            0.013391,              0.8346,             0.75962,             0.80437,             0.45276,            0.054779,            0.066375,            0.012438,            0.005446,            0.005446,            0.005446
                  47,            0.058656,            0.066039,             0.01343,             0.83201,             0.75464,             0.80144,             0.45032,            0.054895,            0.066473,            0.012499,            0.005446,            0.005446,            0.005446
                  48,             0.05867,            0.067375,            0.013419,             0.83346,             0.76441,             0.80665,             0.45406,             0.05473,             0.06632,            0.012416,            0.005347,            0.005347,            0.005347
                  48,            0.058616,            0.066777,             0.01333,              0.8287,             0.76053,             0.80217,             0.45135,            0.054838,            0.066392,            0.012482,            0.005347,            0.005347,            0.005347
                  49,            0.058602,            0.067433,            0.013409,             0.83671,             0.76537,              0.8086,             0.45554,            0.054685,             0.06623,            0.012408,            0.005248,            0.005248,            0.005248
                  49,            0.058532,            0.066841,            0.013337,             0.82657,             0.76342,             0.80373,             0.45313,              0.0548,            0.066265,            0.012471,            0.005248,            0.005248,            0.005248
                  50,            0.058336,            0.066428,            0.013299,             0.83359,             0.76334,             0.80756,             0.45635,            0.054639,            0.066094,            0.012394,            0.005149,            0.005149,            0.005149
                  50,            0.058312,             0.06639,            0.013246,             0.83013,             0.76465,              0.8049,             0.45364,            0.054741,            0.066242,            0.012446,            0.005149,            0.005149,            0.005149
                  51,            0.058468,            0.066713,              0.0133,             0.83778,             0.76345,             0.80777,             0.45778,            0.054601,            0.066009,            0.012385,             0.00505,             0.00505,             0.00505
                  51,            0.058534,            0.066884,             0.01345,             0.82955,             0.76576,              0.8063,             0.45522,            0.054682,            0.066192,            0.012415,             0.00505,             0.00505,             0.00505
                  52,            0.058469,            0.066598,            0.013368,             0.83811,             0.76614,             0.80918,             0.45717,            0.054554,            0.065992,            0.012367,            0.004951,            0.004951,            0.004951
                  52,            0.058404,            0.066731,            0.013403,             0.83496,             0.76457,             0.80755,             0.45573,            0.054626,            0.066152,            0.012397,            0.004951,            0.004951,            0.004951
                  53,            0.058261,             0.06614,            0.013263,             0.83933,             0.76419,             0.80974,             0.45813,            0.054512,             0.06594,            0.012347,            0.004852,            0.004852,            0.004852
                  53,            0.058336,            0.066976,            0.013324,             0.83137,             0.76755,              0.8069,             0.45743,            0.054573,            0.066091,            0.012379,            0.004852,            0.004852,            0.004852
                  54,            0.058156,            0.066066,            0.013259,             0.83739,             0.76774,              0.8114,              0.4593,            0.054483,            0.065955,            0.012332,            0.004753,            0.004753,            0.004753
                  54,            0.058303,            0.066395,            0.013301,             0.83177,             0.76735,             0.80699,             0.45753,            0.054532,            0.066053,            0.012363,            0.004753,            0.004753,            0.004753
                  55,            0.057995,            0.066513,            0.013184,             0.83929,             0.76797,             0.81179,             0.45908,            0.054442,            0.065943,             0.01231,            0.004654,            0.004654,            0.004654
                  55,            0.058184,            0.066569,            0.013291,             0.83265,             0.76691,             0.80741,             0.45729,            0.054504,            0.066042,            0.012349,            0.004654,            0.004654,            0.004654
                  56,            0.058006,            0.066335,            0.013183,             0.84225,             0.76736,             0.81272,              0.4603,             0.05441,            0.065958,            0.012293,            0.004555,            0.004555,            0.004555
                  56,            0.058211,            0.066751,            0.013271,             0.83198,             0.76726,             0.80791,             0.45775,            0.054479,            0.066024,            0.012339,            0.004555,            0.004555,            0.004555
                  57,            0.057914,             0.06612,            0.013166,             0.84367,             0.76583,             0.81265,             0.46111,            0.054379,            0.065904,            0.012282,            0.004456,            0.004456,            0.004456
                  57,            0.057927,            0.066172,            0.013206,              0.8344,             0.76737,             0.80873,             0.45842,            0.054456,            0.066003,            0.012328,            0.004456,            0.004456,            0.004456
                  58,            0.057877,            0.065787,            0.013159,             0.84365,             0.76643,             0.81311,             0.46175,            0.054355,            0.065868,            0.012269,            0.004357,            0.004357,            0.004357
                  58,            0.057981,             0.06663,            0.013186,             0.83592,             0.76807,              0.8089,             0.45924,             0.05443,            0.065982,            0.012315,            0.004357,            0.004357,            0.004357
